Timestamp,Radius,RMS,Frequency
0.0,0.0,0.704733,261
0.01,3.43,0.716737,261
0.02,6.86,0.713085,261
0.03,10.29,0.699621,261
0.04,13.72,0.698257,261
0.05,17.15,0.711245,261
0.06,20.58,0.717381,261
0.07,24.01,0.706835,261
0.08,27.44,0.696577,261
0.09,30.87,0.703452,261
0.1,34.3,0.716134,261
0.11,37.73,0.714122,261
0.12,41.16,0.700634,261
0.13,44.59,0.697578,261
0.14,48.02,0.709997,261
0.15,51.45,0.717579,261
0.16,54.88,0.708164,261
0.17,58.31,0.696879,261
0.18,61.74,0.702227,261
0.19,65.17,0.715389,261
0.2,68.6,0.715047,261
0.21,72.03,0.701748,261
0.22,75.46,0.69705,261
0.23,78.89,0.708701,261
0.24,82.32,0.717613,261
0.25,85.75,0.709473,261
0.26,89.18,0.697344,261
0.27,92.61,0.701078,261
0.28,96.04,0.714514,261
0.29,99.47,0.715847,261
0.3,102.9,0.702944,261
0.31,106.33,0.696681,261
0.32,109.76,0.707378,261
0.33,113.19,0.717482,261
0.34,116.62,0.710743,261
0.35,120.05,0.697963,261
0.36,123.48,0.700022,261
0.37,126.91,0.713521,261
0.38,130.34,0.716509,261
0.39,133.77,0.704205,261
0.4,137.2,0.696477,261
0.41,140.63,0.706048,261
0.42,144.06,0.717188,261
0.43,147.49,0.711953,261
0.44,150.92,0.698726,261
0.45,154.35,0.699076,261
0.46,157.78,0.712425,261
0.47,161.21,0.717023,261
0.48,164.64,0.705509,261
0.49,168.07,0.696443,261
0.5,171.5,0.704733,261
0.51,174.93,0.716737,261
0.52,178.36,0.713085,261
0.53,181.79,0.699621,261
0.54,185.22,0.698257,261
0.55,188.65,0.711245,261
0.56,192.08,0.717381,261
0.57,195.51,0.706835,261
0.58,198.94,0.696577,261
0.59,202.37,0.703452,261
0.6,205.8,0.716134,261
0.61,209.23,0.714122,261
0.62,212.66,0.700634,261
0.63,216.09,0.697578,261
0.64,219.52,0.709997,261
0.65,222.95,0.717579,261
0.66,226.38,0.708164,261
0.67,229.81,0.696879,261
0.68,233.24,0.702227,261
0.69,236.67,0.715389,261
0.7,240.1,0.715047,261
0.71,243.53,0.701748,261
0.72,246.96,0.69705,261
0.73,250.39,0.708701,261
0.74,253.82,0.717613,261
0.75,257.25,0.709473,261
0.76,260.68,0.697344,261
0.77,264.11,0.701078,261
0.78,267.54,0.714514,261
0.79,270.97,0.715847,261
0.8,274.4,0.702944,261
0.81,277.83,0.696681,261
0.82,281.26,0.707378,261
0.83,284.69,0.717482,261
0.84,288.12,0.710743,261
0.85,291.55,0.697963,261
0.86,294.98,0.700022,261
0.87,298.41,0.713521,261
0.88,301.84,0.716509,261
0.89,305.27,0.704205,261
0.9,308.7,0.696477,261
0.91,312.13,0.706048,261
0.92,315.56,0.717188,261
0.93,318.99,0.711953,261
0.94,322.42,0.698726,261
0.95,325.85,0.699076,261
0.96,329.28,0.712425,261
0.97,332.71,0.717023,261
0.98,336.14,0.705509,261
0.99,339.57,0.696443,261
1.0,343.0,0.704733,261
1.01,346.43,0.716737,261
1.02,349.86,0.713085,261
1.03,353.29,0.699621,261
1.04,356.72,0.698257,261
1.05,360.15,0.711245,261
1.06,363.58,0.717381,261
1.07,367.01,0.706835,261
1.08,370.44,0.696577,261
1.09,373.87,0.703452,261
1.1,377.3,0.716134,261
1.11,380.73,0.714122,261
1.12,384.16,0.700634,261
1.13,387.59,0.697578,261
1.14,391.02,0.709997,261
1.15,394.45,0.717579,261
1.16,397.88,0.708164,261
1.17,401.31,0.696879,261
1.18,404.74,0.702227,261
1.19,408.17,0.715389,261
1.2,411.6,0.715047,261
1.21,415.03,0.701748,261
1.22,418.46,0.69705,261
1.23,421.89,0.708701,261
1.24,425.32,0.717613,261
1.25,428.75,0.709473,261
1.26,432.18,0.697344,261
1.27,435.61,0.701078,261
1.28,439.04,0.714514,261
1.29,442.47,0.715847,261
1.3,445.9,0.702944,261
1.31,449.33,0.696681,261
1.32,452.76,0.707378,261
1.33,456.19,0.717482,261
1.34,459.62,0.710743,261
1.35,463.05,0.697963,261
1.36,466.48,0.700022,261
1.37,469.91,0.713521,261
1.38,473.34,0.716509,261
1.39,476.77,0.704205,261
1.4,480.2,0.696477,261
1.41,483.63,0.706048,261
1.42,487.06,0.717188,261
1.43,490.49,0.711953,261
1.44,493.92,0.698726,261
1.45,497.35,0.699076,261
1.46,500.78,0.712425,261
1.47,504.21,0.717023,261
1.48,507.64,0.705509,261
1.49,511.07,0.696443,261
1.5,514.5,0.704733,261
1.51,517.93,0.716737,261
1.52,521.36,0.713085,261
1.53,524.79,0.699621,261
1.54,528.22,0.698257,261
1.55,531.65,0.711245,261
1.56,535.08,0.717381,261
1.57,538.51,0.706835,261
1.58,541.94,0.696577,261
1.59,545.37,0.703452,261
1.6,548.8,0.716134,261
1.61,552.23,0.714122,261
1.62,555.66,0.700634,261
1.63,559.09,0.697578,261
1.64,562.52,0.709997,261
1.65,565.95,0.717579,261
1.66,569.38,0.708164,261
1.67,572.81,0.696879,261
1.68,576.24,0.702227,261
1.69,579.67,0.715389,261
1.7,583.1,0.715047,261
1.71,586.53,0.701748,261
1.72,589.96,0.69705,261
1.73,593.39,0.708701,261
1.74,596.82,0.717613,261
1.75,600.25,0.709473,261
1.76,603.68,0.697344,261
1.77,607.11,0.701078,261
1.78,610.54,0.714514,261
1.79,613.97,0.715847,261
1.8,617.4,0.702944,261
1.81,620.83,0.696681,261
1.82,624.26,0.707378,261
1.83,627.69,0.717482,261
1.84,631.12,0.710743,261
1.85,634.55,0.697963,261
1.86,637.98,0.700022,261
1.87,641.41,0.713521,261
1.88,644.84,0.716509,261
1.89,648.27,0.704205,261
1.9,651.7,0.696477,261
1.91,655.13,0.706048,261
1.92,658.56,0.717188,261
1.93,661.99,0.711953,261
1.94,665.42,0.698726,261
1.95,668.85,0.699076,261
1.96,672.28,0.712425,261
1.97,675.71,0.717023,261
1.98,679.14,0.705509,261
1.99,682.57,0.696443,261
2.0,686.0,0.704733,261
2.01,689.43,0.716737,261
2.02,692.86,0.713085,261
2.03,696.29,0.699621,261
2.04,699.72,0.698257,261
2.05,703.15,0.711245,261
2.06,706.58,0.717381,261
2.07,710.01,0.706835,261
2.08,713.44,0.696577,261
2.09,716.87,0.703452,261
2.1,720.3,0.716134,261
2.11,723.73,0.714122,261
2.12,727.16,0.700634,261
2.13,730.59,0.697578,261
2.14,734.02,0.709997,261
2.15,737.45,0.717579,261
2.16,740.88,0.708164,261
2.17,744.31,0.696879,261
2.18,747.74,0.702227,261
2.19,751.17,0.715389,261
2.2,754.6,0.715047,261
2.21,758.03,0.701748,261
2.22,761.46,0.69705,261
2.23,764.89,0.708701,261
2.24,768.32,0.717613,261
2.25,771.75,0.709473,261
2.26,775.18,0.697344,261
2.27,778.61,0.701078,261
2.28,782.04,0.714514,261
2.29,785.47,0.715847,261
2.3,788.9,0.702944,261
2.31,792.33,0.696681,261
2.32,795.76,0.707378,261
2.33,799.19,0.717482,261
2.34,802.62,0.710743,261
2.35,806.05,0.697963,261
2.36,809.48,0.700022,261
2.37,812.91,0.713521,261
2.38,816.34,0.716509,261
2.39,819.77,0.704205,261
2.4,823.2,0.696477,261
2.41,826.63,0.706048,261
2.42,830.06,0.717188,261
2.43,833.49,0.711953,261
2.44,836.92,0.698726,261
2.45,840.35,0.699076,261
2.46,843.78,0.712425,261
2.47,847.21,0.717023,261
2.48,850.64,0.705509,261
2.49,854.07,0.696443,261
2.5,857.5,0.704733,261
2.51,860.93,0.716737,261
2.52,864.36,0.713085,261
2.53,867.79,0.699621,261
2.54,871.22,0.698257,261
2.55,874.65,0.711245,261
2.56,878.08,0.717381,261
2.57,881.51,0.706835,261
2.58,884.94,0.696577,261
2.59,888.37,0.703452,261
2.6,891.8,0.716134,261
2.61,895.23,0.714122,261
2.62,898.66,0.700634,261
2.63,902.09,0.697578,261
2.64,905.52,0.709997,261
2.65,908.95,0.717579,261
2.66,912.38,0.708164,261
2.67,915.81,0.696879,261
2.68,919.24,0.702227,261
2.69,922.67,0.715389,261
2.7,926.1,0.715047,261
2.71,929.53,0.701748,261
2.72,932.96,0.69705,261
2.73,936.39,0.708701,261
2.74,939.82,0.717613,261
2.75,943.25,0.709473,261
2.76,946.68,0.697344,261
2.77,950.11,0.701078,261
2.78,953.54,0.714514,261
2.79,956.97,0.715847,261
2.8,960.4,0.702944,261
2.81,963.83,0.696681,261
2.82,967.26,0.707378,261
2.83,970.69,0.717482,261
2.84,974.12,0.710743,261
2.85,977.55,0.697963,261
2.86,980.98,0.700022,261
2.87,984.41,0.713521,261
2.88,987.84,0.716509,261
2.89,991.27,0.704205,261
2.9,994.7,0.696477,261
2.91,998.13,0.706048,261
2.92,1001.56,0.717188,261
2.93,1004.99,0.711953,261
2.94,1008.42,0.698726,261
2.95,1011.85,0.699076,261
2.96,1015.28,0.712425,261
2.97,1018.71,0.717023,261
